match_id,date,competition,round,format,home_team,away_team,home_score,away_score,venue,city,attendance,is_final,is_opener,years_since_prev_wc,source
2023_04_29_scotland_ireland,2023-04-29,Six Nations,Round 5,15s,Scotland,Ireland,36,10,Edinburgh Rugby Stadium,Edinburgh,4862,0,0,,https://en.wikipedia.org/wiki/2023_Women's_Six_Nations_Championship
2023_07_22_italy_spain,2023-07-22,WXV,WXV 3 final qualification,15s,Italy,Spain,23,0,,Piacenza,1035,1,0,,https://en.wikipedia.org/wiki/2023_WXV
2023_10_21_new_zealand_france,2023-10-21,WXV,Round 1,15s,New Zealand,France,17,18,Wellington Regional Stadium,Wellington,3000,0,0,,https://en.wikipedia.org/wiki/2023_WXV
2023_10_28_new_zealand_wales,2023-10-28,WXV,Round 2,15s,New Zealand,Wales,70,7,Forsyth Barr Stadium,Dunedin,4500,0,0,,https://en.wikipedia.org/wiki/2023_WXV
2023_11_04_england_new_zealand,2023-11-04,WXV,Round 3,15s,England,New Zealand,33,12,Mount Smart Stadium,Auckland,10000,0,0,,https://en.wikipedia.org/wiki/2023_WXV
2024_06_29_wales_spain,2024-06-29,WXV,,15s,Wales,Spain,52,20,Cardiff Arms Park,Cardiff,2436,0,0,,https://en.wikipedia.org/wiki/2024_WXV
2024_09_29_canada_france,2024-09-29,WXV,Round 1,15s,Canada,France,46,24,BC Place,Vancouver,4500,0,0,,https://en.wikipedia.org/wiki/2024_WXV
2024_10_06_new_zealand_england,2024-10-06,WXV,Round 2,15s,New Zealand,England,31,49,Langley Events Centre,Langley,1500,0,0,,https://en.wikipedia.org/wiki/2024_WXV
2024_10_12_canada_england,2024-10-12,WXV,Round 3,15s,Canada,England,12,21,BC Place,Vancouver,3000,0,0,,https://en.wikipedia.org/wiki/2024_WXV
2025_08_22_england_united_states,2025-08-22,Rugby World Cup,Pool A,15s,England,United States,69,7,Stadium of Light,Sunderland,42723,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A
2025_08_23_australia_samoa,2025-08-23,Rugby World Cup,Pool A,15s,Australia,Samoa,73,0,Salford Community Stadium,Manchester,10054,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A
2025_08_30_england_samoa,2025-08-30,Rugby World Cup,Pool A,15s,England,Samoa,92,3,Franklin's Gardens,Northampton,13615,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A
2025_08_30_united_states_australia,2025-08-30,Rugby World Cup,Pool A,15s,United States,Australia,31,31,York Community Stadium,York,7828,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A
2025_09_06_united_states_samoa,2025-09-06,Rugby World Cup,Pool A,15s,United States,Samoa,60,0,York Community Stadium,York,7124,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A
2025_09_06_england_australia,2025-09-06,Rugby World Cup,Pool A,15s,England,Australia,47,7,Brighton & Hove Albion Stadium,Brighton,30433,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_A
2025_08_23_scotland_wales,2025-08-23,Rugby World Cup,Pool B,15s,Scotland,Wales,38,8,Salford Community Stadium,Manchester,10054,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B
2025_08_23_canada_fij,2025-08-23,Rugby World Cup,Pool B,15s,Canada,FIJ,65,7,York Community Stadium,York,4810,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B
2025_08_30_canada_wales,2025-08-30,Rugby World Cup,Pool B,15s,Canada,Wales,42,0,Salford Community Stadium,Manchester,9803,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B
2025_08_30_scotland_fij,2025-08-30,Rugby World Cup,Pool B,15s,Scotland,FIJ,29,15,Salford Community Stadium,Manchester,9803,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B
2025_09_06_canada_scotland,2025-09-06,Rugby World Cup,Pool B,15s,Canada,Scotland,40,19,Sandy Park,Exeter,14003,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B
2025_09_06_wales_fij,2025-09-06,Rugby World Cup,Pool B,15s,Wales,FIJ,25,28,Sandy Park,Exeter,14003,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_B
2025_08_24_ireland_japan,2025-08-24,Rugby World Cup,Pool C,15s,Ireland,Japan,42,14,Franklin's Gardens,Northampton,13053,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C
2025_08_24_new_zealand_spain,2025-08-24,Rugby World Cup,Pool C,15s,New Zealand,Spain,54,8,York Community Stadium,York,7458,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C
2025_08_31_ireland_spain,2025-08-31,Rugby World Cup,Pool C,15s,Ireland,Spain,43,27,Franklin's Gardens,Northampton,8834,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C
2025_08_31_new_zealand_japan,2025-08-31,Rugby World Cup,Pool C,15s,New Zealand,Japan,62,19,Sandy Park,Exeter,13902,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C
2025_09_07_japan_spain,2025-09-07,Rugby World Cup,Pool C,15s,Japan,Spain,29,21,York Community Stadium,York,3779,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C
2025_09_07_new_zealand_ireland,2025-09-07,Rugby World Cup,Pool C,15s,New Zealand,Ireland,40,0,Brighton & Hove Albion Stadium,Brighton,30017,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_C
2025_08_23_france_italy,2025-08-23,Rugby World Cup,Pool D,15s,France,Italy,24,0,Sandy Park,Exeter,7052,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D
2025_08_24_south_africa_brazil,2025-08-24,Rugby World Cup,Pool D,15s,South Africa,Brazil,66,6,Franklin's Gardens,Northampton,13053,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D
2025_08_31_italy_south_africa,2025-08-31,Rugby World Cup,Pool D,15s,Italy,South Africa,24,29,York Community Stadium,York,6045,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D
2025_08_31_france_brazil,2025-08-31,Rugby World Cup,Pool D,15s,France,Brazil,84,5,Sandy Park,Exeter,13902,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D
2025_09_07_italy_brazil,2025-09-07,Rugby World Cup,Pool D,15s,Italy,Brazil,64,3,Franklin's Gardens,Northampton,13268,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D
2025_09_07_france_south_africa,2025-09-07,Rugby World Cup,Pool D,15s,France,South Africa,57,10,Franklin's Gardens,Northampton,13268,0,0,,https://en.wikipedia.org/wiki/2025_Women's_Rugby_World_Cup_Pool_D
wrwc2025_final,2025-09-27,Rugby World Cup,Final,15s,England,Canada,,,Allianz Stadium (Twickenham),London,81885,1,0,4,Wikipedia: 2025 Women's Rugby World Cup final
wrwc2025_opener,2025-08-22,Rugby World Cup,Pool A,15s,England,United States,,,Stadium of Light,Sunderland,42723,0,1,4,Wikipedia: 2025 Women's Rugby World Cup Pool A
six_nations_2023_final,2023-04-29,Six Nations,Final round,15s,England,France,,,Twickenham Stadium,London,58498,1,0,,"Sky Sports / Wikipedia: 2023 Women's Six Nations decider, record for standalone women's international at the time"
wrwc2021_final,2022-11-12,Rugby World Cup,Final,15s,England,New Zealand,,,Eden Park,Auckland,42579,1,0,,Wikipedia: 2021 Women's Rugby World Cup final (delayed to 2022)
wrwc2010_final,2010-08-28,Rugby World Cup,Final,15s,New Zealand,England,,,Twickenham Stoop,London,13253,1,0,,Sky Sports: 2010 WRWC final attendance
